model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T11:03:23.176442+00:00

Build Times
provider,build_time_s
torchinferno,494.7
vllm,676.2
sglang,279.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.85,139.47,150.36,vllm
ttft_p99_ms,2437.07,230.81,603.77,vllm
tpot_median_ms,46.67,49.60,75.67,torchinferno
tpot_p99_ms,828.69,137.57,180.76,vllm
e2e_median_ms,198.33,178.57,226.00,vllm
e2e_p99_ms,2491.19,287.96,740.82,vllm
throughput_median_tps,5.84,7.88,5.29,vllm
total_output_tokens,1461,1454,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,249.22,210.38,220.36,vllm
ttft_p99_ms,664.81,505.25,70374.86,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.64,231.94,360.23,vllm
e2e_p99_ms,686.21,530.13,70440.41,vllm
throughput_median_tps,3.71,4.31,2.78,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.41,155.22,161.24,vllm
ttft_p99_ms,592.22,308.38,281.30,sglang
tpot_median_ms,57.78,58.51,101.51,torchinferno
tpot_p99_ms,361.22,177.35,228.89,vllm
e2e_median_ms,371.91,201.14,253.50,vllm
e2e_p99_ms,640.48,395.79,439.56,vllm
throughput_median_tps,3.59,6.95,5.28,vllm
total_output_tokens,1446,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,437.47,131.26,114.74,sglang
ttft_last_turn_ms,405.66,148.17,188.60,vllm
ttft_growth_ratio,0.93,1.13,1.64,torchinferno
ttft_first_turn_median_ms,440.69,129.55,109.81,sglang
ttft_first_turn_p99_ms,616.46,286.37,192.46,sglang
ttft_last_turn_median_ms,409.73,148.46,180.89,vllm
ttft_last_turn_p99_ms,464.73,279.14,299.84,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,208.23,63.02,78.67,vllm
ttft_p99_ms,430.85,2055.72,553.57,torchinferno
tpot_median_ms,59.11,31.55,52.51,vllm
tpot_p99_ms,103.12,1712.67,519.54,torchinferno
e2e_median_ms,257.50,85.55,138.54,vllm
e2e_p99_ms,494.88,3731.76,596.19,torchinferno
throughput_median_tps,5.41,14.12,9.96,vllm
total_output_tokens,1502,1464,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.74,76.45,68.62,sglang
ttft_p99_ms,924.20,210.36,226.22,vllm
tpot_median_ms,22.91,15.04,22.11,vllm
tpot_p99_ms,58.18,19.62,26.02,vllm
e2e_median_ms,1119.76,629.65,844.11,vllm
e2e_p99_ms,2063.32,1010.30,1580.98,vllm
throughput_median_tps,32.48,57.59,42.12,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,few_shot,46,2431.93,48.27,2480.21,2,0.81,1,,
torchinferno,few_shot,47,2434.30,0.00,2478.23,1,0.40,1,,
torchinferno,few_shot,48,2438.57,0.00,2483.38,1,0.40,1,,
torchinferno,few_shot,49,2435.62,47.41,2483.03,2,0.81,1,,
torchinferno,few_shot,50,2430.34,51.31,2481.64,2,0.81,1,,
torchinferno,few_shot,51,2433.96,51.22,2485.18,2,0.80,1,,
torchinferno,few_shot,52,2437.76,54.21,2491.97,2,0.80,1,,
torchinferno,few_shot,53,2432.95,0.00,2490.98,1,0.40,1,,
torchinferno,few_shot,54,2437.07,0.00,2489.96,1,0.40,1,,
torchinferno,few_shot,55,2432.53,58.65,2491.19,2,0.80,1,,
torchinferno,few_shot,56,2429.62,62.42,2492.04,2,0.80,1,,
torchinferno,few_shot,57,2430.39,65.59,2495.98,2,0.80,1,,
torchinferno,few_shot,58,2434.46,63.83,2498.29,2,0.80,1,,
torchinferno,few_shot,59,2436.31,63.03,2499.34,2,0.80,1,,
torchinferno,few_shot,60,495.33,0.00,509.18,1,1.96,1,,
torchinferno,few_shot,61,514.90,0.00,526.47,1,1.90,1,,
torchinferno,few_shot,62,161.24,0.00,172.63,1,5.79,1,,
torchinferno,few_shot,63,506.45,0.00,527.20,1,1.90,1,,
torchinferno,few_shot,64,497.53,0.00,518.91,1,1.93,1,,
torchinferno,few_shot,65,156.11,0.00,176.77,1,5.66,1,,
torchinferno,few_shot,66,153.97,0.00,175.81,1,5.69,1,,
torchinferno,few_shot,67,166.38,0.00,187.06,1,5.35,1,,
torchinferno,few_shot,68,511.52,0.00,539.47,1,1.85,1,,
torchinferno,few_shot,69,505.05,0.00,528.21,1,1.89,1,,
torchinferno,few_shot,70,155.27,0.00,179.26,1,5.58,1,,
torchinferno,few_shot,71,506.27,0.00,536.10,1,1.87,1,,
torchinferno,few_shot,72,161.88,0.00,194.90,1,5.13,1,,
torchinferno,few_shot,73,151.12,29.64,180.77,2,11.06,1,,
torchinferno,few_shot,74,516.57,0.00,550.43,1,1.82,1,,
torchinferno,few_shot,75,170.85,34.38,205.23,2,9.75,1,,
torchinferno,few_shot,76,164.05,33.68,197.73,2,10.12,1,,
torchinferno,few_shot,77,502.91,0.00,541.55,1,1.85,1,,
torchinferno,few_shot,78,2523.49,0.00,2561.17,1,0.39,1,,
torchinferno,few_shot,79,151.50,0.00,191.16,1,5.23,1,,
torchinferno,few_shot,80,2518.02,45.66,2563.68,2,0.78,1,,
torchinferno,few_shot,81,163.29,0.00,210.56,1,4.75,1,,
torchinferno,few_shot,82,499.05,47.89,546.94,2,3.66,1,,
torchinferno,few_shot,83,164.32,45.42,209.74,2,9.54,1,,
torchinferno,few_shot,84,509.42,46.05,555.47,2,3.60,1,,
torchinferno,few_shot,85,166.28,53.55,219.84,2,9.10,1,,
torchinferno,few_shot,86,2518.95,55.63,2574.58,2,0.78,1,,
torchinferno,few_shot,87,496.62,56.43,553.05,2,3.62,1,,
torchinferno,few_shot,88,510.83,0.00,567.91,1,1.76,1,,
torchinferno,few_shot,89,2519.56,61.28,2580.84,2,0.77,1,,
torchinferno,few_shot,90,493.57,59.88,553.45,2,3.61,1,,
torchinferno,few_shot,91,159.65,0.00,222.39,1,4.50,1,,
torchinferno,few_shot,92,122.99,0.00,138.07,1,7.24,1,,
torchinferno,few_shot,93,135.40,0.00,146.24,1,6.84,1,,
torchinferno,few_shot,94,140.13,0.00,158.30,1,6.32,1,,
torchinferno,few_shot,95,153.32,0.00,173.05,1,5.78,1,,
torchinferno,few_shot,96,159.37,0.00,181.75,1,5.50,1,,
torchinferno,few_shot,97,140.17,0.00,157.69,1,6.34,1,,
torchinferno,few_shot,98,128.15,0.00,151.71,1,6.59,1,,
torchinferno,few_shot,99,161.31,0.00,182.89,1,5.47,1,,
torchinferno,few_shot,100,143.25,0.00,169.07,1,5.91,1,,
torchinferno,few_shot,101,158.16,0.00,182.58,1,5.48,1,,
torchinferno,few_shot,102,133.57,0.00,161.84,1,6.18,1,,
torchinferno,few_shot,103,171.41,0.00,198.74,1,5.03,1,,
torchinferno,few_shot,104,160.44,0.00,190.85,1,5.24,1,,
torchinferno,few_shot,105,115.45,0.00,149.02,1,6.71,1,,
torchinferno,few_shot,106,115.48,0.00,147.57,1,6.78,1,,
torchinferno,few_shot,107,124.10,30.53,154.64,2,12.93,1,,
torchinferno,few_shot,108,124.44,0.00,158.70,1,6.30,1,,
torchinferno,few_shot,109,149.93,0.00,185.85,1,5.38,1,,
torchinferno,few_shot,110,163.29,42.84,206.14,2,9.70,1,,
torchinferno,few_shot,111,126.48,39.19,165.67,2,12.07,1,,
torchinferno,few_shot,112,149.76,38.63,188.39,2,10.62,1,,
torchinferno,few_shot,113,164.10,0.00,208.62,1,4.79,1,,
torchinferno,few_shot,114,124.71,48.06,172.77,2,11.58,1,,
torchinferno,few_shot,115,129.92,48.26,178.18,2,11.22,1,,
torchinferno,few_shot,116,149.96,45.57,195.53,2,10.23,1,,
torchinferno,few_shot,117,134.21,50.86,185.07,2,10.81,1,,
torchinferno,few_shot,118,138.79,53.66,192.45,2,10.39,1,,
torchinferno,few_shot,119,162.44,55.87,218.31,2,9.16,1,,
torchinferno,few_shot,120,156.47,56.06,212.53,2,9.41,1,,
torchinferno,few_shot,121,123.17,56.54,179.71,2,11.13,1,,
torchinferno,few_shot,122,140.18,0.00,199.58,1,5.01,1,,
torchinferno,few_shot,123,143.85,66.16,210.00,2,9.52,1,,
torchinferno,few_shot,124,153.37,0.00,164.46,1,6.08,1,,
torchinferno,few_shot,125,160.24,0.00,168.87,1,5.92,1,,
torchinferno,few_shot,126,166.50,0.00,178.85,1,5.59,1,,
torchinferno,few_shot,127,131.51,0.00,152.60,1,6.55,1,,
torchinferno,few_shot,128,155.78,0.00,179.12,1,5.58,1,,
torchinferno,few_shot,129,155.46,0.00,174.80,1,5.72,1,,
torchinferno,few_shot,130,135.19,0.00,162.98,1,6.14,1,,
torchinferno,few_shot,131,149.22,0.00,175.00,1,5.71,1,,
torchinferno,few_shot,132,157.23,0.00,186.15,1,5.37,1,,
torchinferno,few_shot,133,139.67,0.00,171.65,1,5.83,1,,
torchinferno,few_shot,134,167.56,0.00,196.13,1,5.10,1,,
torchinferno,few_shot,135,164.04,0.00,192.22,1,5.20,1,,
torchinferno,few_shot,136,128.52,31.40,159.92,2,12.51,1,,
torchinferno,few_shot,137,118.73,34.86,153.59,2,13.02,1,,
torchinferno,few_shot,138,145.40,39.02,184.42,2,10.84,1,,
torchinferno,few_shot,139,141.40,40.54,181.94,2,10.99,1,,
torchinferno,few_shot,140,156.78,38.74,195.52,2,10.23,1,,
torchinferno,few_shot,141,141.71,45.93,187.64,2,10.66,1,,
torchinferno,few_shot,142,124.09,43.10,167.19,2,11.96,1,,
torchinferno,few_shot,143,167.29,41.60,208.88,2,9.57,1,,
torchinferno,few_shot,144,137.11,46.10,183.21,2,10.92,1,,
torchinferno,few_shot,145,128.98,48.11,177.09,2,11.29,1,,
torchinferno,few_shot,146,125.76,51.17,176.93,2,11.30,1,,
torchinferno,few_shot,147,132.96,48.43,181.39,2,11.03,1,,
torchinferno,few_shot,148,154.66,56.10,210.76,2,9.49,1,,
torchinferno,few_shot,149,146.93,53.48,200.40,2,9.98,1,,
torchinferno,few_shot,150,171.60,53.59,225.19,2,8.88,1,,
torchinferno,few_shot,151,145.31,52.82,198.13,2,10.09,1,,
torchinferno,few_shot,152,174.01,56.43,230.44,2,8.68,1,,
torchinferno,few_shot,153,168.15,61.56,229.72,2,8.71,1,,
torchinferno,few_shot,154,125.78,0.00,187.48,1,5.33,1,,
torchinferno,few_shot,155,132.46,195.01,522.49,3,5.74,0,,
torchinferno,few_shot,156,513.99,0.00,527.05,1,1.90,1,,
torchinferno,few_shot,157,514.99,0.00,532.42,1,1.88,1,,
torchinferno,few_shot,158,526.32,0.00,537.45,1,1.86,1,,
torchinferno,few_shot,159,530.04,0.00,543.68,1,1.84,1,,
torchinferno,few_shot,160,531.81,0.00,553.91,1,1.81,1,,
torchinferno,few_shot,161,507.48,0.00,523.92,1,1.91,1,,
torchinferno,few_shot,162,496.29,0.00,519.79,1,1.92,1,,
torchinferno,few_shot,163,527.48,0.00,549.81,1,1.82,1,,
torchinferno,few_shot,164,522.10,0.00,548.58,1,1.82,1,,
torchinferno,few_shot,165,534.41,0.00,558.69,1,1.79,1,,
torchinferno,few_shot,166,528.13,0.00,558.91,1,1.79,1,,
torchinferno,few_shot,167,524.71,29.83,554.53,2,3.61,1,,
torchinferno,few_shot,168,493.68,0.00,524.46,1,1.91,1,,
torchinferno,few_shot,169,501.96,31.97,533.93,2,3.75,1,,
torchinferno,few_shot,170,503.54,0.00,539.25,1,1.85,1,,
torchinferno,few_shot,171,508.60,40.04,548.64,2,3.65,1,,
torchinferno,few_shot,172,502.12,0.00,540.54,1,1.85,1,,
torchinferno,few_shot,173,513.68,0.00,557.35,1,1.79,1,,
torchinferno,few_shot,174,513.24,37.13,550.37,2,3.63,1,,
torchinferno,few_shot,175,517.92,39.05,556.98,2,3.59,1,,
torchinferno,few_shot,176,493.78,0.00,532.32,1,1.88,1,,
torchinferno,few_shot,177,520.36,45.32,565.68,2,3.54,1,,
torchinferno,few_shot,178,498.89,48.80,547.69,2,3.65,1,,
torchinferno,few_shot,179,509.89,43.94,553.84,2,3.61,1,,
torchinferno,few_shot,180,495.86,49.06,544.92,2,3.67,1,,
torchinferno,few_shot,181,529.17,51.51,580.68,2,3.44,1,,
torchinferno,few_shot,182,531.11,0.00,586.63,1,1.70,1,,
torchinferno,few_shot,183,508.17,58.35,566.52,2,3.53,1,,
torchinferno,few_shot,184,541.48,0.00,592.52,1,1.69,1,,
torchinferno,few_shot,185,517.12,59.52,576.64,2,3.47,1,,
torchinferno,few_shot,186,482.01,59.02,541.03,2,3.70,1,,
torchinferno,few_shot,187,506.48,0.00,569.81,1,1.75,1,,
torchinferno,few_shot,188,495.57,0.00,508.82,1,1.97,1,,
torchinferno,few_shot,189,496.26,0.00,513.58,1,1.95,1,,
torchinferno,few_shot,190,490.29,0.00,507.45,1,1.97,1,,
torchinferno,few_shot,191,521.93,0.00,543.68,1,1.84,1,,
torchinferno,few_shot,192,497.37,0.00,516.15,1,1.94,1,,
torchinferno,few_shot,193,506.14,0.00,528.53,1,1.89,1,,
torchinferno,few_shot,194,492.44,0.00,511.44,1,1.96,1,,
torchinferno,few_shot,195,510.10,0.00,531.85,1,1.88,1,,
torchinferno,few_shot,196,527.56,0.00,556.35,1,1.80,1,,
torchinferno,few_shot,197,515.54,0.00,537.33,1,1.86,1,,
torchinferno,few_shot,198,531.22,0.00,556.73,1,1.80,1,,
torchinferno,few_shot,199,509.31,0.00,534.96,1,1.87,1,,
torchinferno,few_shot,200,523.84,29.57,553.41,2,3.61,1,,
torchinferno,few_shot,201,528.30,0.00,558.19,1,1.79,1,,
torchinferno,few_shot,202,503.51,0.00,537.30,1,1.86,1,,
torchinferno,few_shot,203,504.95,0.00,537.12,1,1.86,1,,
torchinferno,few_shot,204,499.34,37.13,536.47,2,3.73,1,,
torchinferno,few_shot,205,518.95,38.97,557.93,2,3.58,1,,
torchinferno,few_shot,206,495.19,0.00,532.68,1,1.88,1,,
torchinferno,few_shot,207,535.92,0.00,578.26,1,1.73,1,,
torchinferno,few_shot,208,166.82,0.00,206.13,1,4.85,1,,
torchinferno,few_shot,209,509.38,43.94,553.32,2,3.61,1,,
torchinferno,few_shot,210,523.42,49.71,573.13,2,3.49,1,,
torchinferno,few_shot,211,536.72,49.37,586.09,2,3.41,1,,
torchinferno,few_shot,212,490.36,0.00,535.99,1,1.87,1,,
torchinferno,few_shot,213,515.13,0.00,566.85,1,1.76,1,,
torchinferno,few_shot,214,518.13,0.00,569.77,1,1.76,1,,
torchinferno,few_shot,215,510.74,54.26,565.00,2,3.54,1,,
torchinferno,few_shot,216,525.70,0.00,576.89,1,1.73,1,,
torchinferno,few_shot,217,512.84,0.00,570.97,1,1.75,1,,
torchinferno,few_shot,218,529.47,62.53,592.00,2,3.38,1,,
torchinferno,few_shot,219,506.67,56.79,563.46,2,3.55,1,,
torchinferno,few_shot,220,148.12,0.00,158.45,1,6.31,1,,
torchinferno,few_shot,221,157.07,0.00,164.43,1,6.08,1,,
torchinferno,few_shot,222,161.37,0.00,170.98,1,5.85,1,,
torchinferno,few_shot,223,161.00,0.00,181.38,1,5.51,1,,
torchinferno,few_shot,224,131.64,0.00,152.51,1,6.56,1,,
torchinferno,few_shot,225,142.22,0.00,166.98,1,5.99,1,,
torchinferno,few_shot,226,151.43,0.00,171.45,1,5.83,1,,
torchinferno,few_shot,227,129.14,25.18,154.31,2,12.96,1,,
torchinferno,few_shot,228,134.21,0.00,161.96,1,6.17,1,,
torchinferno,few_shot,229,170.89,0.00,195.59,1,5.11,1,,
torchinferno,few_shot,230,176.02,0.00,201.48,1,4.96,1,,
torchinferno,few_shot,231,168.58,31.35,199.93,2,10.00,1,,
torchinferno,few_shot,232,127.72,0.00,158.96,1,6.29,1,,
torchinferno,few_shot,233,138.26,35.44,173.70,2,11.51,1,,
torchinferno,few_shot,234,149.08,0.00,180.95,1,5.53,1,,
torchinferno,few_shot,235,126.40,35.28,161.68,2,12.37,1,,
torchinferno,few_shot,236,134.48,40.83,175.31,2,11.41,1,,
torchinferno,few_shot,237,155.56,39.79,195.35,2,10.24,1,,
torchinferno,few_shot,238,160.09,0.00,201.82,1,4.96,1,,
torchinferno,few_shot,239,128.92,47.77,176.68,2,11.32,1,,
torchinferno,few_shot,240,165.68,0.00,211.97,1,4.72,1,,
torchinferno,few_shot,241,159.87,47.51,207.38,2,9.64,1,,
torchinferno,few_shot,242,163.41,53.06,216.47,2,9.24,1,,
torchinferno,few_shot,243,159.01,47.11,206.12,2,9.70,1,,
torchinferno,few_shot,244,129.92,0.00,183.31,1,5.46,1,,
torchinferno,few_shot,245,131.16,51.35,182.51,2,10.96,1,,
torchinferno,few_shot,246,144.31,51.71,196.02,2,10.20,1,,
torchinferno,few_shot,247,139.46,0.00,200.22,1,4.99,1,,
torchinferno,few_shot,248,146.13,0.00,204.00,1,4.90,1,,
torchinferno,few_shot,249,161.63,61.98,223.61,2,8.94,1,,
torchinferno,few_shot,250,121.43,0.00,185.09,1,5.40,1,,
torchinferno,few_shot,251,143.45,62.18,205.62,2,9.73,1,,
torchinferno,few_shot,252,140.24,0.00,150.68,1,6.64,1,,
torchinferno,few_shot,253,163.81,0.00,183.40,1,5.45,1,,
torchinferno,few_shot,254,160.78,0.00,174.60,1,5.73,1,,
torchinferno,few_shot,255,136.69,0.00,158.11,1,6.32,1,,
torchinferno,few_shot,256,122.18,0.00,143.21,1,6.98,1,,
torchinferno,few_shot,257,142.34,0.00,168.06,1,5.95,1,,
torchinferno,few_shot,258,162.31,0.00,183.56,1,5.45,1,,
torchinferno,few_shot,259,165.95,0.00,187.81,1,5.32,1,,
torchinferno,few_shot,260,162.55,0.00,184.89,1,5.41,1,,
torchinferno,few_shot,261,138.14,0.00,167.05,1,5.99,1,,
torchinferno,few_shot,262,133.59,26.42,160.01,2,12.50,1,,
torchinferno,few_shot,263,129.78,0.00,162.60,1,6.15,1,,
torchinferno,few_shot,264,171.68,0.00,199.44,1,5.01,1,,
torchinferno,few_shot,265,142.19,0.00,178.06,1,5.62,1,,
torchinferno,few_shot,266,151.23,35.39,186.61,2,10.72,1,,
torchinferno,few_shot,267,156.64,32.28,188.92,2,10.59,1,,
torchinferno,few_shot,268,133.25,34.20,167.45,2,11.94,1,,
torchinferno,few_shot,269,151.07,0.00,189.10,1,5.29,1,,
torchinferno,few_shot,270,165.71,35.65,201.36,2,9.93,1,,
torchinferno,few_shot,271,150.29,0.00,196.06,1,5.10,1,,
torchinferno,few_shot,272,161.87,46.23,208.09,2,9.61,1,,
torchinferno,few_shot,273,154.47,45.37,199.84,2,10.01,1,,
torchinferno,few_shot,274,135.79,0.00,180.90,1,5.53,1,,
torchinferno,few_shot,275,125.30,46.76,172.05,2,11.62,1,,
torchinferno,few_shot,276,132.03,50.07,182.10,2,10.98,1,,
torchinferno,few_shot,277,165.84,50.43,216.26,2,9.25,1,,
torchinferno,few_shot,278,160.45,48.99,209.45,2,9.55,1,,
torchinferno,few_shot,279,147.01,0.00,199.30,1,5.02,1,,
torchinferno,few_shot,280,127.08,55.89,182.97,2,10.93,0,,
torchinferno,few_shot,281,144.10,55.95,200.05,2,10.00,1,,
torchinferno,few_shot,282,138.68,148.76,584.96,4,6.84,1,,
torchinferno,few_shot,283,146.75,80.38,629.01,7,11.13,0,,
torchinferno,few_shot,284,603.67,0.00,619.34,1,1.61,1,,
torchinferno,few_shot,285,624.75,0.00,639.75,1,1.56,1,,
torchinferno,few_shot,286,582.98,0.00,600.95,1,1.66,1,,
torchinferno,few_shot,287,621.86,0.00,638.01,1,1.57,1,,
torchinferno,few_shot,288,582.32,0.00,596.56,1,1.68,1,,
torchinferno,few_shot,289,603.70,0.00,623.10,1,1.60,1,,
torchinferno,few_shot,290,595.99,0.00,614.19,1,1.63,1,,
torchinferno,few_shot,291,600.48,0.00,621.44,1,1.61,1,,
torchinferno,few_shot,292,591.47,22.75,614.23,2,3.26,1,,
torchinferno,few_shot,293,631.97,0.00,653.28,1,1.53,1,,
torchinferno,few_shot,294,573.01,0.00,604.15,1,1.66,1,,
torchinferno,few_shot,295,614.24,26.15,640.39,2,3.12,1,,
torchinferno,few_shot,296,627.10,0.00,659.56,1,1.52,1,,
torchinferno,few_shot,297,617.36,0.00,649.93,1,1.54,1,,
