model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T09:03:15.511556+00:00

Build Times
provider,build_time_s
torchinferno,604.7
vllm,642.0
sglang,267.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.83,138.18,157.49,vllm
ttft_p99_ms,2246.94,244.26,644.06,vllm
tpot_median_ms,47.17,45.29,71.54,vllm
tpot_p99_ms,825.06,119.07,170.33,vllm
e2e_median_ms,201.91,174.89,223.86,vllm
e2e_p99_ms,2305.69,289.21,790.75,vllm
throughput_median_tps,5.65,8.17,5.41,vllm
total_output_tokens,1461,1448,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,251.72,198.96,219.34,vllm
ttft_p99_ms,620.15,444.44,70522.33,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.12,224.62,368.49,vllm
e2e_p99_ms,630.80,470.09,70632.99,vllm
throughput_median_tps,3.72,4.45,2.71,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.28,165.85,172.38,vllm
ttft_p99_ms,459.78,308.04,627.13,vllm
tpot_median_ms,58.11,53.79,106.75,vllm
tpot_p99_ms,112.25,219.05,561.13,torchinferno
e2e_median_ms,365.59,210.50,276.93,vllm
e2e_p99_ms,499.90,441.86,740.80,vllm
throughput_median_tps,3.87,6.43,4.77,vllm
total_output_tokens,1458,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,286.50,134.82,123.09,sglang
ttft_last_turn_ms,408.07,146.44,210.16,vllm
ttft_growth_ratio,1.42,1.09,1.71,vllm
ttft_first_turn_median_ms,259.52,144.33,116.76,sglang
ttft_first_turn_p99_ms,452.03,245.24,186.49,sglang
ttft_last_turn_median_ms,410.51,149.05,208.39,vllm
ttft_last_turn_p99_ms,471.48,240.36,302.28,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.79,62.15,86.07,vllm
ttft_p99_ms,504.17,4212.28,525.75,torchinferno
tpot_median_ms,56.98,31.34,39.86,vllm
tpot_p99_ms,89.46,130.50,142.72,torchinferno
e2e_median_ms,235.20,85.55,139.16,vllm
e2e_p99_ms,532.17,4318.90,566.77,torchinferno
throughput_median_tps,6.12,14.16,9.82,vllm
total_output_tokens,1470,1471,1482,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.86,76.75,70.41,sglang
ttft_p99_ms,1303.69,193.00,220.42,vllm
tpot_median_ms,23.24,14.81,22.31,vllm
tpot_p99_ms,65.13,18.93,26.96,vllm
e2e_median_ms,1121.29,619.63,833.42,vllm
e2e_p99_ms,2139.53,1008.87,1607.12,vllm
throughput_median_tps,32.19,58.58,41.90,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,few_shot,46,2239.46,50.58,2290.04,2,0.87,1,,
torchinferno,few_shot,47,2247.23,0.00,2296.06,1,0.44,1,,
torchinferno,few_shot,48,2242.52,47.86,2290.38,2,0.87,1,,
torchinferno,few_shot,49,2242.94,51.53,2294.46,2,0.87,1,,
torchinferno,few_shot,50,2247.41,49.75,2297.15,2,0.87,1,,
torchinferno,few_shot,51,2246.65,0.00,2300.85,1,0.43,1,,
torchinferno,few_shot,52,2245.69,52.66,2298.35,2,0.87,1,,
torchinferno,few_shot,53,2247.45,63.22,2310.67,2,0.87,1,,
torchinferno,few_shot,54,2238.64,0.00,2300.65,1,0.43,1,,
torchinferno,few_shot,55,2244.26,61.43,2305.69,2,0.87,1,,
torchinferno,few_shot,56,2245.99,64.90,2310.89,2,0.87,1,,
torchinferno,few_shot,57,2242.01,65.46,2307.47,2,0.87,1,,
torchinferno,few_shot,58,508.96,0.00,517.10,1,1.93,1,,
torchinferno,few_shot,59,161.67,0.00,176.80,1,5.66,1,,
torchinferno,few_shot,60,175.41,0.00,190.49,1,5.25,1,,
torchinferno,few_shot,61,513.43,0.00,530.50,1,1.89,1,,
torchinferno,few_shot,62,2326.46,0.00,2351.51,1,0.43,1,,
torchinferno,few_shot,63,499.90,0.00,526.21,1,1.90,1,,
torchinferno,few_shot,64,166.85,0.00,188.96,1,5.29,1,,
torchinferno,few_shot,65,518.48,0.00,541.27,1,1.85,1,,
torchinferno,few_shot,66,2325.11,0.00,2355.84,1,0.42,1,,
torchinferno,few_shot,67,2331.77,0.00,2357.41,1,0.42,1,,
torchinferno,few_shot,68,182.32,28.65,210.97,2,9.48,1,,
torchinferno,few_shot,69,175.33,0.00,208.00,1,4.81,1,,
torchinferno,few_shot,70,511.91,0.00,539.51,1,1.85,1,,
torchinferno,few_shot,71,159.40,0.00,192.88,1,5.18,1,,
torchinferno,few_shot,72,176.21,0.00,210.76,1,4.74,1,,
torchinferno,few_shot,73,513.98,0.00,550.00,1,1.82,1,,
torchinferno,few_shot,74,500.33,38.35,538.68,2,3.71,1,,
torchinferno,few_shot,75,513.50,34.66,548.16,2,3.65,1,,
torchinferno,few_shot,76,513.38,0.00,556.20,1,1.80,1,,
torchinferno,few_shot,77,512.31,0.00,553.56,1,1.81,1,,
torchinferno,few_shot,78,189.71,0.00,227.96,1,4.39,1,,
torchinferno,few_shot,79,508.51,41.69,550.21,2,3.64,1,,
torchinferno,few_shot,80,171.22,47.35,218.57,2,9.15,1,,
torchinferno,few_shot,81,2325.98,51.03,2377.00,2,0.84,1,,
torchinferno,few_shot,82,2333.33,46.68,2380.01,2,0.84,1,,
torchinferno,few_shot,83,182.16,54.41,236.56,2,8.45,1,,
torchinferno,few_shot,84,167.30,0.00,224.52,1,4.45,1,,
torchinferno,few_shot,85,2326.06,59.61,2385.67,2,0.84,1,,
torchinferno,few_shot,86,520.46,0.00,580.76,1,1.72,1,,
torchinferno,few_shot,87,172.89,0.00,228.59,1,4.37,1,,
torchinferno,few_shot,88,173.65,59.50,233.15,2,8.58,1,,
torchinferno,few_shot,89,184.10,61.40,245.50,2,8.15,1,,
torchinferno,few_shot,90,130.92,0.00,142.47,1,7.02,1,,
torchinferno,few_shot,91,153.54,0.00,170.40,1,5.87,1,,
torchinferno,few_shot,92,171.14,0.00,187.71,1,5.33,1,,
torchinferno,few_shot,93,158.29,0.00,176.32,1,5.67,1,,
torchinferno,few_shot,94,154.54,0.00,169.66,1,5.89,1,,
torchinferno,few_shot,95,124.64,0.00,143.40,1,6.97,1,,
torchinferno,few_shot,96,126.07,0.00,148.03,1,6.76,1,,
torchinferno,few_shot,97,160.15,0.00,184.21,1,5.43,1,,
torchinferno,few_shot,98,142.26,0.00,167.66,1,5.96,1,,
torchinferno,few_shot,99,147.32,0.00,177.41,1,5.64,1,,
torchinferno,few_shot,100,142.72,0.00,169.41,1,5.90,1,,
torchinferno,few_shot,101,121.94,34.02,155.96,2,12.82,1,,
torchinferno,few_shot,102,118.35,30.54,148.89,2,13.43,1,,
torchinferno,few_shot,103,160.64,37.15,197.79,2,10.11,1,,
torchinferno,few_shot,104,166.96,33.60,200.56,2,9.97,1,,
torchinferno,few_shot,105,132.30,0.00,173.59,1,5.76,1,,
torchinferno,few_shot,106,144.80,37.71,182.51,2,10.96,1,,
torchinferno,few_shot,107,134.96,42.69,177.66,2,11.26,1,,
torchinferno,few_shot,108,153.52,0.00,199.48,1,5.01,1,,
torchinferno,few_shot,109,133.97,0.00,177.10,1,5.65,1,,
torchinferno,few_shot,110,132.11,41.73,173.85,2,11.50,1,,
torchinferno,few_shot,111,122.91,0.00,164.67,1,6.07,1,,
torchinferno,few_shot,112,162.57,51.43,214.00,2,9.35,1,,
torchinferno,few_shot,113,146.85,0.00,197.55,1,5.06,1,,
torchinferno,few_shot,114,141.60,46.26,187.86,2,10.65,1,,
torchinferno,few_shot,115,166.00,0.00,216.85,1,4.61,1,,
torchinferno,few_shot,116,125.98,48.83,174.81,2,11.44,1,,
torchinferno,few_shot,117,146.38,52.89,199.27,2,10.04,1,,
torchinferno,few_shot,118,130.88,58.57,189.44,2,10.56,1,,
torchinferno,few_shot,119,116.55,56.99,173.55,2,11.52,1,,
torchinferno,few_shot,120,149.02,64.34,213.36,2,9.37,1,,
torchinferno,few_shot,121,133.78,0.00,200.84,1,4.98,1,,
torchinferno,few_shot,122,168.28,0.00,183.88,1,5.44,1,,
torchinferno,few_shot,123,160.76,0.00,173.64,1,5.76,1,,
torchinferno,few_shot,124,157.26,0.00,172.96,1,5.78,1,,
torchinferno,few_shot,125,132.19,0.00,146.21,1,6.84,1,,
torchinferno,few_shot,126,154.16,0.00,172.00,1,5.81,1,,
torchinferno,few_shot,127,153.93,0.00,174.91,1,5.72,1,,
torchinferno,few_shot,128,151.58,0.00,171.82,1,5.82,1,,
torchinferno,few_shot,129,157.73,0.00,185.17,1,5.40,1,,
torchinferno,few_shot,130,171.95,0.00,197.02,1,5.08,1,,
torchinferno,few_shot,131,155.75,31.52,187.27,2,10.68,1,,
torchinferno,few_shot,132,139.20,31.30,170.49,2,11.73,1,,
torchinferno,few_shot,133,143.74,0.00,178.75,1,5.59,1,,
torchinferno,few_shot,134,146.51,30.46,176.97,2,11.30,1,,
torchinferno,few_shot,135,162.34,34.70,197.04,2,10.15,1,,
torchinferno,few_shot,136,164.14,37.32,201.46,2,9.93,1,,
torchinferno,few_shot,137,142.65,0.00,183.00,1,5.46,1,,
torchinferno,few_shot,138,147.58,41.80,189.39,2,10.56,1,,
torchinferno,few_shot,139,137.85,0.00,180.93,1,5.53,1,,
torchinferno,few_shot,140,127.07,37.90,164.98,2,12.12,1,,
torchinferno,few_shot,141,119.38,44.88,164.26,2,12.18,1,,
torchinferno,few_shot,142,139.90,0.00,180.17,1,5.55,1,,
torchinferno,few_shot,143,129.53,49.07,178.59,2,11.20,1,,
torchinferno,few_shot,144,125.43,49.29,174.73,2,11.45,1,,
torchinferno,few_shot,145,138.21,49.91,188.11,2,10.63,1,,
torchinferno,few_shot,146,140.29,48.33,188.62,2,10.60,1,,
torchinferno,few_shot,147,148.54,50.46,199.00,2,10.05,1,,
torchinferno,few_shot,148,149.56,60.83,210.39,2,9.51,1,,
torchinferno,few_shot,149,168.57,56.21,224.78,2,8.90,1,,
torchinferno,few_shot,150,161.73,0.00,216.51,1,4.62,1,,
torchinferno,few_shot,151,118.30,0.00,178.41,1,5.60,1,,
torchinferno,few_shot,152,123.71,64.36,188.08,2,10.63,1,,
torchinferno,few_shot,153,133.36,198.20,529.77,3,5.66,0,,
torchinferno,few_shot,154,518.61,0.00,532.74,1,1.88,1,,
torchinferno,few_shot,155,541.29,0.00,553.34,1,1.81,1,,
torchinferno,few_shot,156,539.86,0.00,562.16,1,1.78,1,,
torchinferno,few_shot,157,505.83,0.00,527.38,1,1.90,1,,
torchinferno,few_shot,158,533.38,0.00,552.88,1,1.81,1,,
torchinferno,few_shot,159,534.49,0.00,555.61,1,1.80,1,,
torchinferno,few_shot,160,514.52,0.00,533.37,1,1.87,1,,
torchinferno,few_shot,161,510.77,0.00,532.74,1,1.88,1,,
torchinferno,few_shot,162,516.34,28.65,544.99,2,3.67,1,,
torchinferno,few_shot,163,503.89,30.67,534.56,2,3.74,1,,
torchinferno,few_shot,164,515.45,0.00,543.76,1,1.84,1,,
torchinferno,few_shot,165,544.49,0.00,572.30,1,1.75,1,,
torchinferno,few_shot,166,509.15,36.23,545.38,2,3.67,1,,
torchinferno,few_shot,167,517.09,0.00,554.23,1,1.80,1,,
torchinferno,few_shot,168,523.88,0.00,565.06,1,1.77,1,,
torchinferno,few_shot,169,519.91,0.00,559.91,1,1.79,1,,
torchinferno,few_shot,170,520.32,43.09,563.42,2,3.55,1,,
torchinferno,few_shot,171,547.65,41.92,589.57,2,3.39,1,,
torchinferno,few_shot,172,538.54,40.48,579.02,2,3.45,1,,
torchinferno,few_shot,173,531.23,43.28,574.51,2,3.48,1,,
torchinferno,few_shot,174,492.08,0.00,536.35,1,1.86,1,,
torchinferno,few_shot,175,549.17,0.00,589.92,1,1.70,1,,
torchinferno,few_shot,176,500.33,0.00,550.29,1,1.82,1,,
torchinferno,few_shot,177,510.71,54.20,564.90,2,3.54,1,,
torchinferno,few_shot,178,530.64,0.00,581.10,1,1.72,1,,
torchinferno,few_shot,179,524.17,54.35,578.52,2,3.46,1,,
torchinferno,few_shot,180,546.84,54.40,601.24,2,3.33,1,,
torchinferno,few_shot,181,523.50,51.32,574.82,2,3.48,1,,
torchinferno,few_shot,182,546.69,0.00,599.88,1,1.67,1,,
torchinferno,few_shot,183,508.65,54.02,562.67,2,3.55,1,,
torchinferno,few_shot,184,517.04,57.57,574.61,2,3.48,1,,
torchinferno,few_shot,185,496.15,65.17,561.32,2,3.56,1,,
torchinferno,few_shot,186,510.77,0.00,520.23,1,1.92,1,,
torchinferno,few_shot,187,527.56,0.00,539.27,1,1.85,1,,
torchinferno,few_shot,188,495.84,0.00,517.28,1,1.93,1,,
torchinferno,few_shot,189,521.47,0.00,544.06,1,1.84,1,,
torchinferno,few_shot,190,515.28,0.00,540.03,1,1.85,1,,
torchinferno,few_shot,191,533.08,0.00,554.14,1,1.80,1,,
torchinferno,few_shot,192,516.62,0.00,535.43,1,1.87,1,,
torchinferno,few_shot,193,518.45,0.00,541.25,1,1.85,1,,
torchinferno,few_shot,194,493.83,0.00,522.68,1,1.91,1,,
torchinferno,few_shot,195,503.71,0.00,529.29,1,1.89,1,,
torchinferno,few_shot,196,499.16,0.00,530.70,1,1.88,1,,
torchinferno,few_shot,197,541.57,0.00,573.31,1,1.74,1,,
torchinferno,few_shot,198,508.21,36.56,544.77,2,3.67,1,,
torchinferno,few_shot,199,515.75,0.00,550.98,1,1.81,1,,
torchinferno,few_shot,200,159.99,0.00,197.53,1,5.06,1,,
torchinferno,few_shot,201,534.02,0.00,576.66,1,1.73,1,,
torchinferno,few_shot,202,533.59,0.00,576.36,1,1.74,1,,
torchinferno,few_shot,203,544.21,0.00,589.25,1,1.70,1,,
torchinferno,few_shot,204,539.84,46.64,586.48,2,3.41,1,,
torchinferno,few_shot,205,534.86,48.83,583.70,2,3.43,1,,
torchinferno,few_shot,206,514.17,0.00,558.77,1,1.79,1,,
torchinferno,few_shot,207,535.65,0.00,580.70,1,1.72,1,,
torchinferno,few_shot,208,543.23,49.09,592.33,2,3.38,1,,
torchinferno,few_shot,209,535.85,50.08,585.93,2,3.41,1,,
torchinferno,few_shot,210,529.67,0.00,582.57,1,1.72,1,,
torchinferno,few_shot,211,524.59,50.49,575.08,2,3.48,1,,
torchinferno,few_shot,212,526.96,57.22,584.18,2,3.42,1,,
torchinferno,few_shot,213,521.08,0.00,581.26,1,1.72,1,,
torchinferno,few_shot,214,505.64,61.13,566.78,2,3.53,1,,
torchinferno,few_shot,215,506.85,0.00,565.67,1,1.77,1,,
torchinferno,few_shot,216,524.94,66.32,591.25,2,3.38,1,,
torchinferno,few_shot,217,521.41,69.24,590.65,2,3.39,1,,
torchinferno,few_shot,218,139.65,0.00,152.35,1,6.56,1,,
torchinferno,few_shot,219,141.94,0.00,150.49,1,6.65,1,,
torchinferno,few_shot,220,148.92,0.00,167.26,1,5.98,1,,
torchinferno,few_shot,221,143.01,0.00,160.77,1,6.22,1,,
torchinferno,few_shot,222,127.19,0.00,145.51,1,6.87,1,,
torchinferno,few_shot,223,159.68,0.00,181.78,1,5.50,1,,
torchinferno,few_shot,224,147.64,0.00,167.48,1,5.97,1,,
torchinferno,few_shot,225,124.53,0.00,152.03,1,6.58,1,,
torchinferno,few_shot,226,125.83,22.52,148.35,2,13.48,1,,
torchinferno,few_shot,227,169.24,0.00,195.16,1,5.12,1,,
torchinferno,few_shot,228,137.16,26.09,163.25,2,12.25,1,,
torchinferno,few_shot,229,147.60,33.05,180.65,2,11.07,1,,
torchinferno,few_shot,230,164.96,0.00,196.21,1,5.10,1,,
torchinferno,few_shot,231,124.31,33.95,158.27,2,12.64,1,,
torchinferno,few_shot,232,147.92,0.00,178.58,1,5.60,1,,
torchinferno,few_shot,233,135.80,0.00,175.81,1,5.69,1,,
torchinferno,few_shot,234,170.64,0.00,210.66,1,4.75,1,,
torchinferno,few_shot,235,131.86,36.31,168.17,2,11.89,1,,
torchinferno,few_shot,236,153.84,41.85,195.69,2,10.22,1,,
torchinferno,few_shot,237,133.56,0.00,173.04,1,5.78,1,,
torchinferno,few_shot,238,167.23,0.00,208.57,1,4.79,1,,
torchinferno,few_shot,239,153.23,45.69,198.92,2,10.05,1,,
torchinferno,few_shot,240,164.44,44.39,208.83,2,9.58,1,,
torchinferno,few_shot,241,127.29,47.02,174.31,2,11.47,1,,
torchinferno,few_shot,242,145.99,0.00,195.63,1,5.11,1,,
torchinferno,few_shot,243,168.21,46.91,215.12,2,9.30,1,,
torchinferno,few_shot,244,139.55,49.78,189.33,2,10.56,1,,
torchinferno,few_shot,245,149.56,0.00,207.29,1,4.82,1,,
torchinferno,few_shot,246,125.93,0.00,177.75,1,5.63,1,,
torchinferno,few_shot,247,133.91,58.91,192.83,2,10.37,1,,
torchinferno,few_shot,248,145.53,63.14,208.67,2,9.58,1,,
torchinferno,few_shot,249,158.07,0.00,220.18,1,4.54,1,,
torchinferno,few_shot,250,137.45,0.00,147.07,1,6.80,1,,
torchinferno,few_shot,251,141.45,0.00,154.06,1,6.49,1,,
torchinferno,few_shot,252,150.33,0.00,165.60,1,6.04,1,,
torchinferno,few_shot,253,132.29,0.00,151.43,1,6.60,1,,
torchinferno,few_shot,254,162.37,0.00,181.32,1,5.52,1,,
torchinferno,few_shot,255,165.75,0.00,193.79,1,5.16,1,,
torchinferno,few_shot,256,148.42,0.00,176.99,1,5.65,1,,
torchinferno,few_shot,257,163.99,0.00,188.13,1,5.32,1,,
torchinferno,few_shot,258,151.29,31.23,182.52,2,10.96,1,,
torchinferno,few_shot,259,164.99,0.00,195.47,1,5.12,1,,
torchinferno,few_shot,260,148.39,0.00,175.93,1,5.68,1,,
torchinferno,few_shot,261,147.12,0.00,179.08,1,5.58,1,,
torchinferno,few_shot,262,153.73,32.70,186.43,2,10.73,1,,
torchinferno,few_shot,263,146.35,0.00,180.31,1,5.55,1,,
torchinferno,few_shot,264,157.01,0.00,195.88,1,5.11,1,,
torchinferno,few_shot,265,163.88,0.00,208.67,1,4.79,1,,
torchinferno,few_shot,266,163.35,42.28,205.63,2,9.73,1,,
torchinferno,few_shot,267,163.06,45.86,208.91,2,9.57,1,,
torchinferno,few_shot,268,128.05,40.21,168.27,2,11.89,1,,
torchinferno,few_shot,269,172.60,48.48,221.08,2,9.05,1,,
torchinferno,few_shot,270,122.41,50.13,172.55,2,11.59,1,,
torchinferno,few_shot,271,148.82,49.23,198.05,2,10.10,1,,
torchinferno,few_shot,272,126.05,0.00,178.21,1,5.61,1,,
torchinferno,few_shot,273,171.24,49.11,220.34,2,9.08,1,,
torchinferno,few_shot,274,152.76,59.43,212.19,2,9.43,1,,
torchinferno,few_shot,275,176.57,0.00,230.48,1,4.34,1,,
torchinferno,few_shot,276,127.96,59.86,187.81,2,10.65,1,,
torchinferno,few_shot,277,133.50,0.00,196.62,1,5.09,1,,
torchinferno,few_shot,278,139.45,63.06,202.51,2,9.88,1,,
torchinferno,few_shot,279,113.88,66.33,180.22,2,11.10,0,,
torchinferno,few_shot,280,136.91,129.33,524.91,4,7.62,1,,
torchinferno,few_shot,281,144.97,70.75,569.48,7,12.29,0,,
torchinferno,few_shot,282,538.50,0.00,551.42,1,1.81,1,,
torchinferno,few_shot,283,543.19,0.00,553.74,1,1.81,1,,
torchinferno,few_shot,284,544.21,0.00,560.79,1,1.78,1,,
torchinferno,few_shot,285,521.85,0.00,541.41,1,1.85,1,,
torchinferno,few_shot,286,532.22,0.00,549.43,1,1.82,1,,
torchinferno,few_shot,287,559.30,0.00,581.34,1,1.72,1,,
torchinferno,few_shot,288,527.07,0.00,547.64,1,1.83,1,,
torchinferno,few_shot,289,552.74,25.06,577.80,2,3.46,1,,
torchinferno,few_shot,290,568.04,0.00,592.44,1,1.69,1,,
torchinferno,few_shot,291,542.28,0.00,573.66,1,1.74,1,,
torchinferno,few_shot,292,578.51,25.26,603.76,2,3.31,1,,
torchinferno,few_shot,293,548.30,0.00,577.85,1,1.73,1,,
torchinferno,few_shot,294,571.25,0.00,604.95,1,1.65,1,,
torchinferno,few_shot,295,558.96,0.00,587.96,1,1.70,1,,
torchinferno,few_shot,296,538.17,29.85,568.02,2,3.52,1,,
torchinferno,few_shot,297,562.34,0.00,598.48,1,1.67,1,,
